"Year_Month","AAPL.Coeff","AXP.Coeff","BA.Coeff","CAT.Coeff","CSCO.Coeff","CVX.Coeff","DIS.Coeff","DOW.Coeff","GS.Coeff","HD.Coeff","IBM.Coeff","INTC.Coeff","JNJ.Coeff","JPM.Coeff","KO.Coeff","MCD.Coeff","MMM.Coeff","MRK.Coeff","MSFT.Coeff","NKE.Coeff","PFE.Coeff","PG.Coeff","TRV.Coeff","UNH.Coeff","UTX.Coeff","V.Coeff","VZ.Coeff","WBA.Coeff","WMT.Coeff","XOM.Coeff"
20185,"Not Significant","0.0123704742772352","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.00434084488041382","Not Significant","Not Significant","0.0139952134979915","Not Significant","Not Significant","Not Significant","Not Significant","-0.00880471574761329","Not Significant","Not Significant","Not Significant","0.00809226824313496","Not Significant","0.00777001567034094","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20195,"Not Significant","0.00884445833341821","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0108650482773736","Not Significant","Not Significant","Not Significant","Not Significant","0.00841415121948431","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0164883343099016","Not Significant","Not Significant","Not Significant"
20105,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0149302181996407","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0166779622171716","Not Significant","-0.0160212608998633","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20115,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0295014529537339","Not Significant","Not Significant","Not Significant","Not Significant","0.0234030986364388","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20165,"Not Significant","Not Significant","Not Significant","0.0177842875938642","Not Significant","0.00809366794664784","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20076,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0268090555730021","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20096,"Not Significant","Not Significant","Not Significant","Not Significant","-0.0126036056522219","Not Significant","Not Significant","Not Significant","0.024523264030028","Not Significant","Not Significant","Not Significant","Not Significant","0.0374272094402508","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20106,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0148905299233831","0.0144741763673303","-0.0102600855442302","Not Significant","Not Significant","Not Significant","-0.0206227699364956","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.0130651206150802","Not Significant"
20116,"-0.0188631949402281","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0245656892113571","Not Significant","Not Significant","-0.0168247215349387","Not Significant","0.0157691080147623","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20126,"-0.0142223529108256","Not Significant","Not Significant","Not Significant","Not Significant","0.0146004584688603","Not Significant","Not Significant","0.0154851801493307","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0121091140609462","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
20156,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.00748568908170704","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.00732818693581647","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.0070668543364696","Not Significant","Not Significant","Not Significant","Not Significant"
20166,"Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","0.00793310047700716","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","-0.00808274245402553","0.00669800547745909","Not Significant","Not Significant","Not Significant","-0.0144767971948767","Not Significant","Not Significant","-0.0102357293768506","Not Significant","Not Significant","-0.00900346120828862","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant","Not Significant"
